terme,tipus,categoria,al·lusió,mostra,url
pelobrocoli,palabra,raza,marroquí,Un pelobrócoli roba a un anciano en San Sebastian y lo pillan.,https://x.com/davidsantosvlog/status/1919485943611895808
jovenlandés,palabra,raza,magrebí,"JOVENLANDES PROHIBE COMER JAMÓN a su CHICA ""FEMINISTA"" y ACABA ACEPTANDOLO! PARA CUANDO EL BURKA?",https://www.youtube.com/watch?v=vD3j-8ebuOM
j0v€nlan€$,palabra,raza,magrebí,🚨J0V€NLAND€S AGR€D€ S€XUALM€NT€ a mujer en Valencia🚨,https://www.youtube.com/watch?v=YxKA8WAoE9o
jovenlandia,palabra,raza,magrebí,"PROGRE DEFIENDE JOVENLANDIA EN ESPAÑA: ""LA PERCEPCIÓN DE LA GENTE NO ES CORRECTA""",https://www.youtube.com/watch?v=bWQQO1zX61M
desarraigolandia,palabra,raza,magrebí,De “jovenlandia” a “desarraigolandia”: la nueva forma de esconder la delincuencia de los inmigrantes,https://www.youtube.com/watch?v=RbvfNAd_0OE
paguita,palabra,clase,holgazán,Cómo actuar ante un ser de luz de jovenlandia agradeciendo la paguita,https://www.youtube.com/watch?v=GhOee1SCRkA
paguitas,palabra,clase,holgazán,MOHA EL DE LAS PAGUITAS [Un jovenlandes decvpita a otro hombre en Valencia],https://www.youtube.com/watch?v=QQxVdY5rtd4
raval,palabra,barrio,violencia,"Ser de luz de jovenlandia roba con total impunidad en el Raval de Barcelona, no respetan a nadie",https://www.youtube.com/watch?v=qvNpoQ1sNoA
desokupacion,palabra,barrio,desalojo,"LOS ARGELINOS de las KATANAS, A LA CALLE!!! vivimos su DESOKUPAción.",https://www.youtube.com/watch?v=aqjzvs7vnsM
desokupa,palabra,barrio,desalojo,DANI De DESOKUPA CAZA JOVENLANDES,https://www.youtube.com/watch?v=zeBLTGR9zzQ
katanas,palabra,raza,magrebí,"LOS ARGELINOS de las KATANAS, A LA CALLE!!! vivimos su DESOKUPAción.",https://www.youtube.com/watch?v=aqjzvs7vnsM
segarro,palabra,raza,magrebí,EL TEMAZO DEL VERANO 2024 - SEGARRO AMEGO REMIX WADE JOVENLANDIA RECORDS COMPARTELO JOVEN NACIONAL,https://www.youtube.com/watch?v=OwkdOTDZ9i4
comer jamon,frase,raza,magrebí,"JOVENLANDES PROHIBE COMER JAMÓN a su CHICA ""FEMINISTA"" y ACABA ACEPTANDOLO! PARA CUANDO EL BURKA?",https://www.youtube.com/watch?v=vD3j-8ebuOM
come jamon,frase,raza,magrebí,Ser de Luz Jovenlandes no come jamon ententa robar indigente robo carterista pickpockets Barcelona,https://www.youtube.com/watch?v=yEDEJ0DFW_U
invasor,palabra,raza,migrante,Actitud de Barbaro Primitivo Invasor,https://www.youtube.com/watch?v=to8ZeIS5Tzk
carterista,palabra,criminalización,ladrón,Ser de Luz Jovenlandes no come jamon ententa robar indigente robo carterista pickpockets Barcelona,https://www.youtube.com/watch?v=yEDEJ0DFW_U
pillan,palabra,criminalización,ladrón,INGENIERO DE JOVENLANDIA EN SAN SEBASTIÁN SE HACE LA VÍCTIMA CUANDO LO PILLAN 😁,https://www.youtube.com/watch?v=OesxXpHxfEU
pillado,palabra,criminalización,ladrón,DOCTOR O INGENIERO DE JOVENLANDIA ES PILLADO ROBANDO EN UNA TIENDA 🚨,https://www.youtube.com/watch?v=ZX0Qq6abKAs
degenerado,palabra,criminalización,agresor,degenerado suelto por el arrabal y como no jovenlandes.,https://www.youtube.com/watch?v=brU56PRIToY
No-europeos,frase,raza,migrante,"AMNISTÍA SI PERO PARA OTROS, NO-EUROPEOS VUELVEN A ESCENA Y NOTICIAS JREntreComillas",https://www.youtube.com/watch?v=P0sPzfkMRdI
pidro,palabra,raza,magrebí,"Jovenlandes llamando a su papá Pidro Sanchiz ,cuando es pillado robando y lo sueltan(Almería)",https://www.youtube.com/watch?v=_lN2I_HZYbs
Pobrelandia,palabra,raza,magrebí,Pobrelandia 🐀,https://www.youtube.com/watch?v=JfAZorbSE_g
S€XUALM€NT€,palabra,criminalización,agresor,🚨J0V€NLAND€S AGR€D€ S€XUALM€NT€ a mujer en Valencia🚨,https://www.youtube.com/watch?v=YxKA8WAoE9o
TAL€NT0,palabra,raza,migrante,🚨J0V€NLANDE$ entrenando para las OLIMPIADAS de 2028… PUR0 TAL€NT0🚨,https://www.youtube.com/watch?v=THf8BsAPo-0
